ROLE,PLAYER,TEAM ,ELIM,DEATHS,DAMAGE,HEALING,TIME PLAYED,All star
D,ColourHex,Boston Uprising,14.9,5.55,8649,168,27,No
T,ameng,Chengdu Hunters,16.48,6.21,7051,0,38,Yes
S,byrem,Florida Mayhem,11.42,5.37,5266,7719,186,No
D,bqb,Florida Mayhem,16.44,4.81,8641,319,25,No
D,Architect,Hangzhou Spark,18.19,4.56,7825,3806,478,No
D,Danteh,Houston Outlaws,17.25,4.21,7516,406,1242,Yes
S,Boink,Houston Outlaws,8.68,5.09,2736,5754,66,No
D,blase,Houston Outlaws,14.12,5.69,5288,5127,152,No
D,Birdring,Los Angeles Gladiators,16.71,4.51,6016,4688,1199,No
S,BigGOOse,Los Angeles Gladiators,12.36,4.69,3870,6429,105,No
S,Anamo,New York Excelsior,14.17,2.75,3948,6563,177,Yes
D,carpe,Philadelphia Fusion,17.99,4.85,8782,137,192,Yes
S,Boombox,Philadelphia Fusion,14.72,4.69,6282,9251,81,No
T,Choihyobin,San Francisco Shock,19.4,3.48,6035,302,423,No
S,Bdosin ,Seoul Dynasty,15.05,4.11,6983,8836,30,No
D,Diya,Shanghai Dragons,14.45,4.82,10081,0,8,No
D,diem,Shanghai Dragons,19.07,4.78,8722,28,1372,Yes
D,DDing A,Shanghai Dragons,18.26,4.86,9069,378,131,No
D,Decay,Washington Justice,18.78,4.49,9050,149,1346,Yes
S,AimGod,Washington Justice,13.42,4.69,6721,9486,1081,No
T,Gator,Atlanta Reign,15.56,6.57,6106,0,28,No
T,frd,Atlanta Reign,18.62,3.91,5983,477,668,No
S,Dogman,Atlanta Reign,15.03,5.04,6305,8955,1401,Yes
T,Fusions,Boston Uprising,13.35,6.44,6461,0,110,Yes
T,Elsa,Chengdu Hunters,18.01,4.03,6932,111,74,No
T,GARGOYLE,Florida Mayhem,18.23,4.38,5583,1047,338,No
D,Happy,Guangzhou Charge,16.24,4.19,8359,1143,1401,No
D,Eileen,Guangzhou Charge,15.96,4.46,6577,3561,622,No
S,iDK,Hangzhou Spark,12.34,3.59,4030,5718,209,No
T,Guxue,Hangzhou Spark,15.93,4.92,7307,0,13,Yes
D,GodsB,Hangzhou Spark,17.83,4,9683,198,194,No
T,Hydration,Houston Outlaws,16.14,5.24,5519,7443,944,No
T,Fury,Philadelphia Fusion,18.86,3.91,6670,231,71,Yes
S,FunnyAstro,Philadelphia Fusion,11.76,5.29,3766,5403,17,No
D,eqo,Philadelphia Fusion,16.81,5.25,5976,6042,185,No
T,Gesture,Seoul Dynasty,15.81,5.76,6492,0,71,Yes
D,Fits,Seoul Dynasty,18.89,4.58,9527,263,1051,No
T,Geguri,Shanghai Dragons,17.48,4.92,6301,199,211,No
D,Fleta,Shanghai Dragons,17.99,4.73,8020,2659,954,Yes
T,Fate,Shanghai Dragons,14.15,6.15,7046,1,1426,No
D,im37,Boston Uprising,12.58,6.61,6068,5250,485,No
T,lateyoung,Chengdu Hunters,17.71,5.48,8874,154,303,No
S,Kyo,Chengdu Hunters,12.44,4.85,5188,7953,98,No
T,JinMu,Chengdu Hunters,15.79,6.18,8333,3331,108,Yes
S,Kris,Florida Mayhem,10.21,4.55,3050,6137,1395,No
T,Karayan,Florida Mayhem,18.13,6.05,3955,0,8,No
S,KariV,Guangzhou Charge,14.67,4.52,6574,5889,1392,No
D,LiNkzr,Houston Outlaws,16.41,5.82,7407,1104,892,No
S,Jecse,Houston Outlaws,11.93,3.91,3081,6036,913,No
D,KSF,Los Angeles Valiant,16.37,5.18,8735,194,1283,No
D,Libero,New York Excelsior,16.78,4.5,5050,5891,142,No
S,JJonak,New York Excelsior,15.76,3.95,7176,8675,206,Yes
D,ivy,Philadelphia Fusion,17.18,5.95,9899,727,1094,No
D,ILLICIT,Seoul Dynasty,15.78,5.68,6305,3422,428,No
S,Luffy,Shanghai Dragons,13.82,5.08,5558,8025,165,No
S,IZaYaKl,Shanghai Dragons,13.37,5.04,7692,10720,752,No
D,Mangachu,Toronto Defiant,15.71,6.73,7046,1322,484,No
D,Logix,Toronto Defiant,16.02,6.09,7801,402,511,No
S,Kruise,Toronto Defiant,10.74,4.75,3778,12601,112,Yes
T,JJANU,Washington Justice,20.06,3.39,6203,215,343,No
S,Masaa,Atlanta Reign,13.22,4.62,4583,6510,151,No
T,Rio,Guangzhou Charge,15.2,4.95,6766,0,49,No
D,nero,Guangzhou Charge,18.32,4.35,6946,935,624,No
D,SASN,Hangzhou Spark,15.22,4.98,6304,450,66,No
S,Rapel,Houston Outlaws,16.27,4.94,5336,10575,265,No
T,Muma,Houston Outlaws,14.57,5.99,6642,0,78,No
T,MekO,Houston Outlaws,18.84,3.88,6099,220,1293,Yes
S,Shaz,Los Angeles Gladiators,14.27,4.07,6467,10113,95,No
D,Shax,Los Angeles Valiant,16.93,5.7,6499,332,426,No
S,RaiN,Los Angeles Valiant,4.37,4.9,2628,5675,93,No
D,SAEBYEOLBE,New York Excelsior,17.1,3.97,5885,818,411,No
T,Poko,Philadelphia Fusion,16.53,3.82,5996,214,182,Yes
T,Mano,Philadelphia Fusion,16.43,5.23,6858,5,207,Yes
D,Rascal,San Francisco Shock,16.8,4.48,5858,8276,262,No
S,moth,San Francisco Shock,13.1,3.72,3890,6671,507,No
D,Profit,Seoul Dynasty,18.62,4.39,8591,938,12,Yes
T,Michelle,Seoul Dynasty,18.93,3.24,6474,235,29,No
T,Marvel,Seoul Dynasty,16.44,5.6,7097,0,1140,No
S,RoKy,Toronto Defiant,12.16,4.08,4263,6333,677,No
T,roar,Washington Justice,15.35,5.69,7043,0,86,No
S,Yveltal,Chengdu Hunters,7.52,4.7,2209,7691,92,Yes
S,shu,Guangzhou Charge,14.06,3.83,6458,8793,36,Yes
T,SPACE,Los Angeles Gladiators,16.94,3.76,6297,349,1350,Yes
S,Vi012t,San Francisco Shock,17.19,4.2,7637,10409,697,Yes
S,Twilight,San Francisco Shock,16.05,4.14,7122,9320,241,Yes
T,super,San Francisco Shock,17.36,5.26,8277,5,196,Yes
D,STRIKER,San Francisco Shock,16.21,6.06,7380,140,102,No
T,smurf,San Francisco Shock,17.73,4.93,6587,0,325,No
S,tobi,Seoul Dynasty,12.53,3.57,3821,6536,791,No
S,SLIME,Seoul Dynasty,14.53,3.71,4165,5882,398,Yes
T,Void,Shanghai Dragons,19.35,3.18,6457,250,1371,No
S,Stitch,Washington Justice,17.66,5.27,7419,628,408,No
